Date,Open,High,Low,Close,Adj Close,Volume,Monthly_Returns
2015-01-01,206.3800048828125,206.8800048828125,198.5500030517578,199.4499969482422,170.4063262939453,3183506000,
2015-02-01,200.0500030517578,212.24000549316406,197.86000061035156,210.66000366210938,179.98387145996094,1901638100,0.05620416433069897
2015-03-01,210.77999877929688,212.05999755859375,204.1199951171875,206.42999267578125,176.36988830566406,2749923000,-0.020079483372491214
2015-04-01,206.38999938964844,212.47999572753906,204.50999450683594,208.4600067138672,178.89927673339844,2036685200,0.014341384756964448
2015-05-01,209.39999389648438,213.77999877929688,206.75999450683594,211.13999938964844,181.1992645263672,1892519900,0.01285632806887338
2015-06-01,211.94000244140625,213.33999633789062,205.27999877929688,205.85000610351562,176.65945434570312,2535242600,-0.02505424176268356
2015-07-01,207.72999572753906,213.17999267578125,204.11000061035156,210.5,181.52874755859375,2452758000,0.027563162305267674
2015-08-01,210.4600067138672,211.30999755859375,182.39999389648438,197.6699981689453,170.46456909179688,3734926900,-0.060950007178480536
2015-09-01,193.1199951171875,202.88999938964844,186.92999267578125,191.6300048828125,165.25582885742188,3279512900,-0.030556145843832483
2015-10-01,192.0800018310547,209.44000244140625,189.1199951171875,207.92999267578125,180.2446746826172,2536184400,0.0907008601683108
2015-11-01,208.32000732421875,211.66000366210938,202.17999267578125,208.69000244140625,180.90350341796875,1924512800,0.0036551911256832437
2015-12-01,209.44000244140625,211.0,199.8300018310547,203.8699951171875,176.72523498535156,2924882300,-0.023096669515368706
2016-01-01,200.49000549316406,201.89999389648438,181.02000427246094,193.72000122070312,168.92611694335938,3712950900,-0.04413132081922899
2016-02-01,192.52999877929688,196.67999267578125,181.08999633789062,193.55999755859375,168.78659057617188,2920730800,-0.0008259608976525223
2016-03-01,195.00999450683594,206.8699951171875,194.4499969482422,205.52000427246094,179.21588134765625,2323306500,0.061789806499928934
2016-04-01,204.35000610351562,210.9199981689453,203.08999633789062,206.3300018310547,180.8501434326172,1910635600,0.009118957944305617
2016-05-01,206.9199981689453,210.69000244140625,202.77999877929688,209.83999633789062,183.9267120361328,1828530900,0.01701170120808837
2016-06-01,209.1199951171875,212.52000427246094,198.64999389648438,209.47999572753906,183.61114501953125,2612406900,-0.0017157215127053815
2016-07-01,209.47999572753906,217.5399932861328,207.05999755859375,217.1199951171875,191.29736328125,1648453700,0.041861392786920026
